What body of water separates Madagascar from the African mainland?,Mozambique Channel,Vivari Channel,The Strait of Wanda Fuca,The Bering Strait,Mozambique Channel
On the hit TV show M*A*S*H who played the role of Trapper?,Larry Linville,Wayne Rogers,Harry Morgan,Alan Alda,Wayne Rogers
The famous German Airplane engineer Messerschmitt designed and manufactured what transportation devices after World War II?,Motor Boats,Electric Locomotives,Bicycles,Three-wheel Mini-cars and Motorcycles,Three-wheel Mini-cars and Motorcycles
In which novel would you find the characters Nicholas Carraway and Daisy Buchanan?,The Scarlet Letter,The Great Gatsby,The Witch of Blackbird Pond,A Tale of Two Cities,The Great Gatsby
How many weapons are there is the game of Clue?,11,8,15,6,6
Which character does Kevin Costner play in the film "Waterworld"?,Priam,Enforcer,Drifter,Mariner,Mariner
Which sport includes the terms lift edge and jumps?,Tennis,Figure skating,Basketball,Darts,Figure skating
What was Edward Sheriff Curtis' claim to fame?,Sculpture,Inventor,Photographer,Politian,Photographer
Who did Princess Anne marry?,Mark Phillips,Anthony,Harry,James,Mark Phillips
What is the capital of Chile?,Bogota,Lima,Quito,Santiago,Santiago
Where would you find Conococha Lake?,Laos,Australia,Peru,Ethiopia,Peru
Whom does Glenn Close play on the TV show "Damages"?,Patty Hewes,Irene Daniels,Kyra Sedgwick,Ellen Parsons,Patty Hewes
When was the rubber balloon invented?,1824,1907,1946,1879,1824
What is "Maw-sit-sit"?,A tree,A spice,A gemstone,A rodent,A gemstone
Which of these is not a kind of pasta?,Pillus,Gomiti,Tumeric,Bigoli,Tumeric
Who wrote the novel "Wuthering Heights"?,Arthur Miller,F. Scott Fitzgerald,Emily Bronte,E. B. White,Emily Bronte
When did Hannibal cross the Alps?,218 BC,1321 AD,1502 AD,1283 AD,218 BC
Which of these devices allows a submarine to see over the water?,Microscope,Stethoscope,Periscope,Telescope,Periscope
Who wrote the Mafia Cookbook?,Victoria Gotti,Kim Kardashian,Julie Childs,Antoinette Giancana,Antoinette Giancana
Which famous celebrity was quoted as saying "Deals are my art form?",Bob Barker,Simon Cowell,Donald Trump,Monty Hall,Donald Trump
If you wanted to see a "Degu" in the wild where would you have to go?,South Africa,Australia,Thailand,Chile,Chile
In 1988 whose toothbrush sold for an astonishing $21 000?,John F. Kennedy,Pablo Picasso,Liberace,Napoleon,Napoleon
In the film Sister Act who had to go undercover as a nun?,Eddie Murphy,Jack Black,Whoopi Goldberg,Julie Andrews,Whoopi Goldberg
Who painted the Old Guitarist?,Monet,Renoir,Picasso,Van Gogh,Picasso
If you wanted to visit Lincoln's grave which state would you have to visit?,Kansas,North Dakota,Illinois,Vermont,Illinois
In what year did Brian Boitano win an Olympic Gold in men's figure skating?,1976,1988,1998,1980,1988
Which of these famous directors is related to Nicholas Cage?,Stephen Spielberg,Ron Howard,Alfred Hitchcock,Francis Ford Copula,Francis Ford Copula
What was boxer Ray Mancini's nickname?,Irish,Boom Boom,Baby,Thunder,Boom Boom
The autobiography Blessings in Disguise is all about which famous actor?,Clark Gable,John Wayne,Bob Hope,Alec Guinness,Alec Guinness
What disaster wiped out the entire town of Nothing Arizona?,Tsunami,Tornado,Fire,Flood,Fire
Who did Humphrey Bogart play in the classic movie Casablanca?,Rick Blaine,Harry Dawes,Harry Smith,Jed Webbe,Rick Blaine
Who drafted basketball player Charles Barkley in 1984?,Washington,San Francisco,Philadelphia,Houston,Philadelphia
What kind of car will "daddy take away" according to the Beach Boys?,Corvette,GTO,Dune buggy,T-Bird,T-Bird
The infamous Joe Masseria was a member of which crime family?,Genovese,Gambino,Colombo,Bonanno,Genovese
In which U.S. state was the first Disney Park built?,Shanghai,France,Florida,California,California
Who directed the Oscar winning movie Argo?,George Lucas,Stephen Spielberg,Tom Hanks,Ben Affleck,Ben Affleck
What is Medusa's last name?,Chimera,Cyclops,Titan,Gorgon,Gorgon
Who wrote the classic novel "The Great Gatsby"?,Joseph Heller,Arthur Miller,F. Scott Fitzgerald,Ernest Hemmingway,F. Scott Fitzgerald
Queen Beatrix ruled which country for over thirty years?,Scotland,Monaco,Wales,The Netherlands,The Netherlands
Which planet is named after the god of war?,Mars,Venus,Neptune,Pluto,Mars
What is the Olympic Australis?,An opal,A tower,A flower,A planet,An opal
Which country's national anthem is La Marseillaise?,Argentina,France,Brazil,Guyana,France
Which nursery rhyme character was going to Gloucester?,The Grad Old Duke,Dr. Foster,Good King Wenceslas,Old King Cole,Dr. Foster
Which painting by Salvador Dali is often called Melting Clocks?,Cabaret Scene,The Persistence of Memory,The First Days of Spring,The Basket of Bread,The Persistence of Memory
On which Japanese Island would you find Mount Fuji?,Hokkaido,Honshu,Shikoku,Kyushu,Honshu
What is the capital of Peru?,Santiago,Lima,Quito,Bogota,Lima
What is a quoll?,A hand tool,An animal,An herb,A musical instrument,An animal
Who plays the character Roy Batty in the sci-fi thriller flick "Blade Runner"?,Mel Gibson,Rutger Hauer,Sean Penn,Arnold Schwarzenegger,Rutger Hauer
What famous landmark makes visitors climb 334 limestone stairs to reach the top?,The Eifel Tower,Mount Rushmore,The Statue of Liberty,Big Ben,Big Ben
Which of these Presidents is not depicted on Mount Rushmore?,Thomas Jefferson,Abraham Lincoln,John Adams,George Washington,John Adams
Which Island is also known as "Rapa Nui"?,Easter Island,Wake,Christmas Island,Maldives,Easter Island
If you wanted to see The Great Rift Valley what country would you have to visit?,Argentina,Egypt,Kenya,America,Kenya
Who would normally use a skew?,Cobbler,Chandler,Carpenter,Hatter,Carpenter
On the hit show Bonanza what was the family's surname?,Hickok,Campbell,Grey,Cartwright,Cartwright
If you are in France looking for an auberge what are you looking for?,A restaurant,An inn,A bathroom,A library,An inn
Whom is Don Diego de la Vega better known as?,Batman,The Green Lantern,Cyrano,Zorro,Zorro
Where was dramatist and duelist Cyrano de Bergerac born?,Spain,Germany,Italy,France,France
Strawberries and Cream are traditionally served at which major sporting event?,The Kentucky Derby,Wimbledon,The Super Bowl,The Davis Cup,Wimbledon
What is the capital city of Benin?,Ottawa,Oslo,Kingston,Porto-Novo,Porto-Novo
What is the main component of a hippopotamus' diet?,Birds,Snakes,Fish,Grass,Grass
What kind of poison did Socrates drink?,Cobra venom,Mercury,Cyanide,Hemlock,Hemlock
Who starred as Moses in the 1956 version of the film "The Ten Commandments"?,Clark Gable,Henry Fonda,John Wayne,Carleton Heston,Carleton Heston
If you wanted to see the famous Lippizan Horses where would you have to go?,Hamburg,Warsaw,Pisa,Vienna,Vienna
Who was the founder of Islam?,Jesus,Confucius,Mohammed,Hippocrates,Mohammed
How much were Dean Martin and Jerry Lewis paid to perform on Ed Sullivan's first show which aired on February 9 1964?,$3 000,$10 000,They did it for free,$200,$200
Where is the holy city of Mecca?,Jordan,Egypt,Iran,Saudi Arabia,Saudi Arabia
After escaping from a Turkish prison who shot and wounded the Pope in 1981?,Mehmet Ali Agca,Sirhan Sirhan,Jack Ruby,Nathuram Godse,Mehmet Ali Agca
Achieving fame as a guru to The Beatles and other celebrities in the late sixties what did Maharishi Mahesh teach?,Yoga,Karate,Confucianism,Buddhism,Yoga
Which famous Joe goes by the nickname Broadway Joe?,Joe Louis,Joe Walsh,Joe Pesci,Joe Namath,Joe Namath
Who is often credited with making the first American flag in Philadelphia?,Beatrice Potter,Betsy Ross,Martha Washington,Dolly Madison,Betsy Ross
Rationing went into effect during WW II on February 7 1943 limiting the number of shoes allowed to be purchased per person per year. How many?,Four pairs,Two pairs,One pair,Three pairs,Three pairs
Which amendment to the Constitution declared on December 18 1865 abolished slavery?,The 3rd,The 11th,The 13th,The 10th,The 13th
On January 28 1986 a space shuttle exploded 73 seconds after liftoff from Cape Canaveral killing all seven crewmembers. What was its name?,Enterprise,Challenger,Explorer,Columbia,Challenger
When did Spanish explorer Juan Ponce de Leon claim present-day Florida for Spain?,April 8 1493,April 8 1503,April 8 1513,April 8 1483,April 8 1513
What did Canadian militiamen do to the U.S. steamboat "Caroline" on December 29 1837 in New York harbor?,They towed it to Canada,They christened it,They captured it,They destroyed and sank it,They destroyed and sank it
Which Founder's first-of-its-kind Religious Freedom Act abolished religious tests in Virginia in 1785?,Thomas Jefferson,Samuel Adams,Alexander Hamilton,James Madison,James Madison
Who was assassinated on April 15th 1865?,Abraham Lincoln,General Lee,James Garfield,Benedict Arnold,Abraham Lincoln
What did the United States buy on the 30th of April 1803?,Louisiana,Florida,Alaska,Texas,Louisiana
Which nation attacked the United States in 1941?,China,Russia,Mexico,Japan,Japan
In 1973 the US ended its involvement with which nation?,Cuba,The Soviet Union,Iraq,Vietnam,Vietnam
When did Neil Armstrong and Buzz Aldrin walk on the moon?,1956,1969,1962,1973,1969
On April 12th 1955 America announced that they had a vaccination for which disease?,Measles,Polio,Rabies,Small pox,Polio
Which US government agency became operational on the 1st of October 1958?,NASA,CIA,IRS,FBI,NASA
The House of Representatives rejected what proposal on January 12 1915?,To join Britain in its war with Germany,To join France in its war with Germany,To give women the right to vote,To enter WW I in general terms,To give women the right to vote
Which President's estate was called Hermitage?,Andres Jackson,Thomas Jefferson,Woodrow Wilson,John Adams,Andres Jackson
One of the most important naval battles of World War II the Battle of Midway was fought between the United States and which other nation?,Russia,Germany,China,Japan,Japan
Coazon Aquino was the President of which nation?,Ethiopia,The Philippines,New Zealand,Turkey,The Philippines
Alexander the Great succeeded his father to the throne in 336 BC after his father was assassinated. Who was his father?,Alexander III of Macedon,Philip I of Macedon,Philip II of Macedon,Darius III,Philip II of Macedon
What feature was Ambrose Burnside noted for?,Sideburns,A cleft pallet,A club foot,An extra finger,Sideburns
The Hundred Years' War was a series of battles fought between England and France. How long did the war last?,116 Years,101 Years,99 Years,100 Years,116 Years
In 1978 Leo Ryan was assassinated. Where?,Pakistan,Cuba,Guyana,India,Guyana
In 1964 whom did Barry Goldwater run against?,J. F. Kennedy,Jimmy Carter,Gerald Ford,Lyndon Johnson,Lyndon Johnson
What was William Randolph Hearst's claim to fame?,Inventor,Actor,Newspaper publisher,Painter,Newspaper publisher
Which one of these famous people formed a fire department in Philadelphia?,Theodore Roosevelt,Arthur Miller,Clark Gable,Benjamin Franklin,Benjamin Franklin
What happened on the USS Creole which made it famous?,Sank,Set the record for the fastest nautical mile,Slave revolt,Torpedoes an aircraft carrier,Slave revolt
What was the name of the first Pope from Poland?,Pope Julius,Pope Paul,Pope John Paul II,Pope Pius,Pope John Paul II
Which city in the United States was the first to get a subway?,Chicago,New York,Boston,San Francisco,Boston
The Cinco de Mayo holiday remembers which battle?,Battle of Liberty Ridge,Battle of New Orleans,Battle of Trafalgar,Battle of Pueblo,Battle of Pueblo
When the United States declaration of Independence was signed who was the first to sign it?,John Hancock,Thomas Jefferson,Edward Rutledge,John Adams,John Hancock
In what year did Joseph Stalin die?,1968,1904,1953,1937,1953
In what year was the first Noble Peace Prize awarded?,1923,1911,1901,1891,1901
Which state was the 14th to join the United States?,Missouri,Vermont,Ohio,Maine,Vermont
Who gave the order on February 19 1942 to arrest and place Japanese Americans in detention camps?,The Secretary of War,The U.S. House of Representatives,The U.S. Senate,President Franklin D. Roosevelt,President Franklin D. Roosevelt
John McCurdy was the first person to fly a plane in Canada when he piloted the Silver Dart for half a mile over Baddeck Bay in what province?,Nova Scotia,British Columbia,Alberta,Ontario,Nova Scotia
In 1974 who was kidnapped from Apartment #6 at 1827 Golden Gate Avenue in Berkeley near the University of San Francisco?,Frank Sinatra Jr.,Jimmy Hoffa,Patty Hearst,The Lindbergh baby,Patty Hearst
Angry that Stanford White had deflowered his wife; Harry Thaw shot him dead at a 1906 party on the roof of which Manhattan building which White had designed?,United Nations Building,Empire State Building,Madison Square Garden,Yankee Stadium,Madison Square Garden
What folk hero was a real person who died in a 1900 crash in Yazoo County Mississippi aboard the Cannonball Express from Memphis to Canton Mississippi?,Paul Bunyan,Daniel Boone,Casey Jones,John Henry,Casey Jones
When did Paul Revere begin his famous ride from Charlestown to Lexington Massachusetts with the famous warning "The British are Coming"?,April 18 1772,April 18 1770,April 18 1775,April 18 1765,April 18 1775
Bedrich Smetana and Antonin Dvorak are this city's best-known composers but Mozart came here to compose the opera Don Giovanni. Which city is this?,Geneva,Budapest,Prague,Vienna,Prague
During World War II which of the Solomon Islands was regained from the Japanese by the Americans on May 1942?,Choiseul,Guadalcanal,Makira-Ulawa,Temotu,Guadalcanal
When Franklin D. Roosevelt announced his candidacy for President on January 23 1932 what position did he hold?,Secretary of State,Senator from New York,Governor of New Jersey,Governor of New York,Governor of New York
As of 2013 who holds the record for longest-reigning British monarch?,Elizabeth II,Henry VIII,Victoria,George III,Victoria
In 1945 the United Nations was founded at what city's Opera House?,Rome,Paris,San Francisco,Geneva,San Francisco
What ill-fated Treaty was signed on June 28 1919?,The Treaty of France,The Versailles Treaty,The Treaty of Geneva,The Red Cross Treaty,The Versailles Treaty
Which Russian revolutionary began his career as a bank robber taking 375000 rubles from the State Bank in 1907?,Lenin,Plechanoff,Stalin,Trotsky,Stalin
In German parliamentary elections on March 3 1933 what percentage of the vote did the Nazi party receive?,44 Percent,33 Percent,66 Percent,55 Percent,44 Percent
England's Henry VIII was succeeded by Edward the VI his son with which of his wives?,Catherine Howard,Jane Seymour,Anne Boleyn,Catherine of Aragon,Jane Seymour
In what year did Paul Revere make his famous ride alerting the Colonial militia to the approach of British forces?,1752,1775,1806,1865,1775
Who was dubbed the Lady of the Lamp?,Mother Teresa,Betsy Ross,Florence Nightingale,Laura Secord,Florence Nightingale
While speaking of a victory against Pharnaces of Pontus which famous person said the words "Veni Vidi Vici" ("I came I saw I conquered")?,William Shakespeare,Peter the Great,Nero,Julius Caesar,Julius Caesar
If you counted all the battles that took place in Europe throughout history which country was the site of the most conflicts?,Belgium,England,Russia,France,Belgium
What famous treaty was signed in 1919?,The Treaty of Den Haag,The Treaty of Versailles,The Treaty of Moscow,The Anglo-Egyptian Treaty,The Treaty of Versailles
In 1980 which famous hotel located in Las Vegas burned resulting in over 80 deaths?,The MGM Grand,The Tropicana,The Flamingo,The Riviera,The MGM Grand
Sam Houston was the President of which independent state?,Alaska,Texas,New Mexico,Florida,Texas
In February of 1942 over 100000 British and Australian troops surrendered to what nation's forces on the island of Singapore?,Japan,Germany,Finland,Italy,Japan
Where did the famous Borden murders occur?,North River,Green River,Twin Falls,Fall Rivers,Fall Rivers
What was the name of the plane which dropped the atomic bomb on Nagasaki in 1945?,Fat Boy,Little Boy,Enola Gay,Bockscar,Bockscar
At the young age of 24 Joseph Smith became the founder of which religion?,Babism,Modern Wicca,Mormon,Methodist,Mormon
In 1972 who tried to assassinate Governor George Wallace?,John Wilkes Booth,Arthur Bremer,Jack Ruby,Sir Han Sir Han,Arthur Bremer
Confessing shortly before his death to 30 homicides when was Ted Bundy executed?,1998,1996,1989,1972,1989
What did Nebuchadnezzar II build?,The Leaning Tower of Pisa,The Great Pyramid of Giza,The Hanging Gardens of Babylon,The Taj Mahal,The Hanging Gardens of Babylon
Which Pope only held the title for thirty-three days?,St Pius X,John Paul I,John III,Benedict XV,John Paul I
Who was the first black person to win on Survivor having conquered the Marquesas?,Tina Wesson,Earl Cole,Ethan Zohn,Vecepia Towery,Vecepia Towery
Which of these was a friend of the Tick's and not a real but ridiculous member of the Silver Age version of the Legion of Super Heroes?,Bouncing Boy,American Maid,Matter Eater Lad,Chameleon Boy,American Maid
Who wanted to film a version of the New Testament as a Western directing himself as a cowboy Jesus?,Alfred Hitchcock,Charlie Chaplin,Kirk Douglas,Orson Welles,Orson Welles
Whose first major role was Karen one of the especially dim-witted plastics in the Lindsay Lohan high school movie "Mean Girls"?,Anna Paquin,Amanda Seyfried,Kristen Stewart,Dakota Fanning,Amanda Seyfried
Who directed the disastrously bad 2010 movie "The Last Airbender"?,Michael Bay,M Night Shymalan,John Woo,Kevin Smith,M Night Shymalan
Married to talent agent Larry Rosen what Gilligan's Island cast member got her contract changed so that she got residuals as long as the show was rerun?,Natalie Schafer,Florence Henderson,Tina Louise,Dawn Wells,Dawn Wells
When NCIS was spun off from JAG what redundant word was added to the title?,General,Justice,Navy,Service,Navy
What MTV reality show spoof follows one of the stars of the cancelled Greg the Bunny?,Hank the Cat,Bucky the Beaver,Phil the Kangaroo,Warren the Ape,Warren the Ape
Consequences will never be the same after what controversial web site coordinated an internet-bullying attack on an 11-yr-old fan of Blood on the Dancefloor?,TMZ,Rotten.com,4chan,Pirate Bay,4chan
According to Rolling Stone Magazine's list "The 100 Best Debut Albums of All Time" which is the best debut album ever released?,Is This It,Licensed to Ill,Appetite for Destruction,Are You Experienced,Licensed to Ill
A controversial Newsweek article complained about what gay actor who played straight opposite Kristin Chenoweth in Promises Promises?,Rupert Everett,Neil Patrick Harris,Jonathan Groff,Sean Hayes,Sean Hayes
This 2004 cult comedy was a such a hit on the film festival circuit that Fox Searchlight added a five-minute stinger showing the wedding of Kip and LaFawnduh,Slumdog Millionaire,Borat,Napoleon Dynamite,The Blair Witch Project,Napoleon Dynamite
The first season was hosted by the monotone Katie Lee Joel who was replaced thereafter by Padma Lakshmi. What show?,America's Next Top Model,Top Chef,So You Think You Can Dance,Hell's Kitchen,Top Chef
Which David Bowie/Queen song contains a melody that was later used in a song by Vanilla Ice?,Under Pressure,Velvet Goldmine,China Girl,Sorrow,Under Pressure
The yo-yo trick where a yo-yo is kept spinning while remaining at the end of its uncoiled string is known as?,Around the World,Looping,Sleeping,Walk the Dog,Sleeping
Jenn Lyon who finished fourth on the Samoa edition became the first former contestant on what show to die when she was felled by breast cancer?,So You Think You Can Dance,Biggest Loser,Survivor,Big Brother,Survivor
Many DC Comics characters that die end up becoming part of what Green Lantern-like organization which seeks to destroy all life?,Pink Lantern Corps,Red Lantern Corps,Black Lantern Corps,Yellow Lantern Corps,Black Lantern Corps
For Gone With the Wind David Selznick pushed makeup artist Monty Westmore to make whose eyes as green as possible using colored contact lenses lens filters reflective green costumes and green eyeshadow?,Vivien Leigh,Claudette Colbert,Barbara Stanwyck,Helen Hayes,Vivien Leigh
Michael Jackson made what dance move famous while performing his hit "Billie Jean" in March of 1983?,Electric Slide,The Monkey,The Moonwalk,The Running Man,The Moonwalk
AFI listed the 50 greatest villains in US film history. One of them however has no name no dialogue and doesn't even appear on screen. What movie features this mysterious baddie?,Rosemary's Baby,Psycho,The Blair Witch Project,Bambi,Bambi
What movie did Jim and John Thomas write after jokes that "Rocky has to fight an alien in Rocky V"?,Predator,Independence Day,True Lies,Alien,Predator
In a 2006 viral video Marc Ecko appeared to send graffiti artists out to tag what unusual location?,Air Force One,Fort Knox,South Pole,Berlin Wall,Air Force One
In what movie does Claudia Schiffer have a one-minute cameo as a woman who looks exactly like Claudia Schiffer?,There's Something About Mary,When Harry Met Sally,It's Complicated,Love Actually,Love Actually
Paul Rubens picked what stage name from a harmonica brand name and from a high-strung classmate?,Billy Crystal,Whoopi Goldberg,Snoop Dogg,Pee-Wee Herman,Pee-Wee Herman
